year,iso,country,election,green_code1,green_1,green_1n,green_code2,green_2,green_2n,left_code,left_1,left_1n,social_code,social_1,social_1n,social_code2,social_2,social_2n,right_code,right_1,right_1n,right_code2,right_2,right_2n
2005,DK,Denmark,08/02/2005,leftsoc1,Socialist Peoples Party,Socialistisk Folkeparti,,,,leftsoc3,leftsoc1,"Enhedslisten – De 
Rød-Grønne",social1,Social Democracy,Socialdemokratiet,,,,liberal2,"Left, Liberal Party of Denmark","Venstre, Danmarks Liberale Parti",,,
2007,DK,Denmark,13/11/2007,leftsoc1,Socialist Peoples Party,Socialistisk Folkeparti,,,,leftsoc3,leftsoc1,"Enhedslisten – De 
Rød-Grønne",social1,Social Democracy,Socialdemokratiet,,,,liberal2,"Left, Liberal Party of Denmark","Venstre, Danmarks Liberale Parti",,,
2011,DK,Denmark,15/09/2011,leftsoc1,Socialist Peoples Party,Socialistisk Folkeparti,,,,leftsoc3,leftsoc1,"Enhedslisten – De 
Rød-Grønne",social1,Social Democracy,Socialdemokratiet,,,,liberal2,"Left, Liberal Party of Denmark","Venstre, Danmarks Liberale Parti",,,
2015,DK,Denmark,18/06/2015,leftsoc1,Socialist Peoples Party,Socialistisk Folkeparti,,,,leftsoc3,leftsoc3,"Enhedslisten – De 
Rød-Grønne",social1,Social Democracy,Socialdemokratiet,,,,liberal2,"Left, Liberal Party of Denmark","Venstre, Danmarks Liberale Parti",,,
2019,DK,Denmark,05/06/2019,leftsoc1,Socialist Peoples Party,Socialistisk Folkeparti,,,,leftsoc3,leftsoc1,"Enhedslisten – De 
Rød-Grønne",social1,Social Democracy,Socialdemokratiet,,,,liberal2,"Left, Liberal Party of Denmark","Venstre, Danmarks Liberale Parti",,,
2022,DK,Denmark,01/11/2022,leftsoc1,Socialist Peoples Party,Socialistisk Folkeparti,,,,leftsoc3,leftsoc1,"Enhedslisten – De 
Rød-Grønne",social1,Social Democracy,Socialdemokratiet,,,,liberal2,"Left, Liberal Party of Denmark","Venstre, Danmarks Liberale Parti",,,
1992,,Estonia,20/09/1992,green1,"Party of Estonian 
Greens",Eesti Rohelised,,,,,,,allia1,Popular Front,Rahvarinne,,,,conserv1,Pro Patria Union ,Isamaaliit,,,
1995,,Estonia,05/03/1995,green1,"Party of Estonian 
Greens",Eesti Rohelised,,,,,,,liberal3,Estonian Center Party,Eesti Keskerakond,,,,liberal2,Estonian Reform Party,Eesti Reformierakond,,,
1999,,Estonia,07/03/1999,green1,,,,,,,,,social2,Social Democratic Party,Sotsiaaldemokraatlik Erakond,,,,liberal2,Estonian Reform Party,Eesti Reformierakond,,,
2003,,Estonia,02/03/2003,green1,,,,,,,,,social2,Social Democratic Party,Sotsiaaldemokraatlik Erakond,,,,liberal2,Estonian Reform Party,Eesti Reformierakond,,,
2007,,Estonia,04/03/2007,green1,Estonian Greens,"Erakond Eestimaa 
Rohelised",,,,,,,social2,Social Democratic Party,Sotsiaaldemokraatlik Erakond,,,,liberal2,Estonian Reform Party,Eesti Reformierakond,,,
2011,,Estonia,06/03/2011,green1,Estonian Greens,"Erakond Eestimaa 
Rohelised",,,,,,,social2,Social Democratic Party,Sotsiaaldemokraatlik Erakond,,,,liberal2,Estonian Reform Party,Eesti Reformierakond,,,
2015,,Estonia,01/03/2015,green1,Estonian Greens,"Erakond Eestimaa 
Rohelised",,,,,,,social2,Social Democratic Party,Sotsiaaldemokraatlik Erakond,,,,liberal2,Estonian Reform Party,Eesti Reformierakond,,,
2019,,Estonia,03/03/2019,green1,Estonian Greens,"Erakond Eestimaa 
Rohelised",,,,,,,social2,Social Democratic Party,Sotsiaaldemokraatlik Erakond,,,,liberal2,Estonian Reform Party,Eesti Reformierakond,,,
2023,,Estonia,17/04/2023,green1,Estonian Greens,"Erakond Eestimaa 
Rohelised",,,,social3,United Left Party,Ühendatud Vasakpartei,social2,Social Democratic Party,Sotsiaaldemokraatlik Erakond,,,,liberal2,Estonian Reform Party,Eesti Reformierakond,,,
1991,FI,Finland,17/03/1991,green1,The Green League,Vihreä liitto,,,,comm3,Left-Wing Alliance,Vasemmistoliitto,social1,Social Democratic Party of Finland ,Suomen sosialidemokraattinen puolue,,,,conserv1,National Coalition Party,Kansallinen Kokoomus,,,
1995,FI,Finland,19/03/1995,green1,The Green League,Vihreä liitto,,,,comm3,Left-Wing Alliance,Vasemmistoliitto,social1,Social Democratic Party of Finland ,Suomen sosialidemokraattinen puolue,,,,conserv1,National Coalition Party,Kansallinen Kokoomus,,,
1999,FI,Finland,21/03/1999,green1,The Green League,Vihreä liitto,,,,comm3,Left-Wing Alliance,Vasemmistoliitto,social1,Social Democratic Party of Finland ,Suomen sosialidemokraattinen puolue,,,,conserv1,National Coalition Party,Kansallinen Kokoomus,,,
2003,FI,Finland,16/03/2003,green1,The Green League,Vihreä liitto,,,,comm3,Left-Wing Alliance,Vasemmistoliitto,social1,Social Democratic Party of Finland ,Suomen sosialidemokraattinen puolue,,,,conserv1,National Coalition Party,Kansallinen Kokoomus,,,
2007,FI,Finland,18/03/2007,green1,The Green League,Vihreä liitto,,,,comm3,Left-Wing Alliance,Vasemmistoliitto,social1,Social Democratic Party of Finland ,Suomen sosialidemokraattinen puolue,,,,conserv1,National Coalition Party,Kansallinen Kokoomus,,,
2011,FI,Finland,17/04/2011,green1,The Green League,Vihreä liitto,,,,comm3,Left-Wing Alliance,Vasemmistoliitto,social1,Social Democratic Party of Finland ,Suomen sosialidemokraattinen puolue,,,,conserv1,National Coalition Party,Kansallinen Kokoomus,,,
2015,FI,Finland,19/04/2015,green1,The Green League,Vihreä liitto,,,,comm3,Left-Wing Alliance,Vasemmistoliitto,social1,Social Democratic Party of Finland ,Suomen sosialidemokraattinen puolue,,,,conserv1,National Coalition Party,Kansallinen Kokoomus,,,
2019,FI,Finland,14/04/2019,green1,The Green League,Vihreä liitto,,,,comm3,Left-Wing Alliance,Vasemmistoliitto,social1,Social Democratic Party of Finland ,Suomen sosialidemokraattinen puolue,,,,conserv1,National Coalition Party,Kansallinen Kokoomus,,,
2023,FI,Finland,02/04/2023,green1,The Green League,Vihreä liitto,,,,comm3,Left-Wing Alliance,Vasemmistoliitto,social1,Social Democratic Party of Finland ,Suomen sosialidemokraattinen puolue,,,,conserv1,National Coalition Party,Kansallinen Kokoomus,,,
1993,FR,France,21/03/1993,green1,The Greens,Les Verts,,,,,leftsoc1,,social1,Socialist Party,Parti socialiste,,,,conserv2,Rally for the Republic ,Rassemblement pour la République,,,
1997,FR,France,25/05/1997,green1,The Greens,Les Verts,,,,comm1,French Communist Party,Parti communiste français,social1,Socialist Party,Parti socialiste,,,,conserv2,Union for a Popular Movement,Union pour un mouvement populaire,,,
2002,FR,France,09/06/2002,green1,The Greens,Les Verts,,,,comm1,French Communist Party,Parti communiste français,social1,Socialist Party,Parti socialiste,,,,conserv2,Union for a Popular Movement,Union pour un mouvement populaire,,,
2007,FR,France,10/06/2007,green1,The Greens,Les Verts,,,,comm1,French Communist Party,Parti communiste français,social1,Socialist Party,Parti socialiste,,,,conserv2,Union for a Popular Movement,Union pour un mouvement populaire,,,
2012,FR,France,10/06/2012,green1,"Europe Ecology – The 
Greens","Europe Écologie Les 
Verts",,,,comm1,Left Front,Front de gauche,social1,Socialist Party,Parti socialiste,,,,conserv2,Union for a Popular Movement,Union pour un mouvement populaire,,,
2017,FR,France,11/06/2017,green1,"Europe Ecology – The 
Greens","Europe Écologie Les 
Verts",,,,leftsoc3,Unsubmissive France,"La France insoumise, FI",social1,Socialist Party,Parti socialiste,,,,liberal3,Renaissance/The Republic on the move!,Renaissance/La République En Marche !,,,
2022,FR,France,12/06/2022,green1,"Europe Ecology – The 
Greens","Europe Écologie Les 
Verts",,,,leftsoc4,Unsubmissive France,"La France insoumise, FI",social1,Socialist Party,Parti socialiste,,,,liberal3,Renaissance/The Republic on the move!,Renaissance/La République En Marche !,,,
1990,DE,Germany,02/12/1990,green1,"Alliance 90/ The 
Greens","Bündnis 90/Die 
Grünen",,,,comm1,Party of Democratic Socialism,Partei des Demokratischen Sozialismus,social1,Social Democratic Party ,Sozialdemokratische Partei Deutschlands,,,,relig1,Christian Democratic Union,"Christlich 
Demokratische Union 
Deutschlands",relig2,Christian Social Union,"Christlich-Soziale Union 
in Bayern"
1994,DE,Germany,16/10/1994,green1,"Alliance 90/ The 
Greens","Bündnis 90/Die 
Grünen",,,,comm1,Party of Democratic Socialism,Partei des Demokratischen Sozialismus,social1,Social Democratic Party ,Sozialdemokratische Partei Deutschlands,,,,relig1,Christian Democratic Union,"Christlich 
Demokratische Union 
Deutschlands",relig2,Christian Social Union,"Christlich-Soziale Union 
in Bayern"
1998,DE,Germany,27/09/1998,green1,"Alliance 90/ The 
Greens","Bündnis 90/Die 
Grünen",,,,comm1,Party of Democratic Socialism,Partei des Demokratischen Sozialismus,social1,Social Democratic Party ,Sozialdemokratische Partei Deutschlands,,,,relig1,Christian Democratic Union,"Christlich 
Demokratische Union 
Deutschlands",relig2,Christian Social Union,"Christlich-Soziale Union 
in Bayern"
2002,DE,Germany,22/09/2002,green1,"Alliance 90/ The 
Greens","Bündnis 90/Die 
Grünen",,,,comm1,Party of Democratic Socialism,Partei des Demokratischen Sozialismus,social1,Social Democratic Party ,Sozialdemokratische Partei Deutschlands,,,,relig1,Christian Democratic Union,"Christlich 
Demokratische Union 
Deutschlands",relig2,Christian Social Union,"Christlich-Soziale Union 
in Bayern"
2005,DE,Germany,18/09/2005,green1,"Alliance 90/ The 
Greens","Bündnis 90/Die 
Grünen",,,,comm1,Party of Democratic Socialism,Partei des Demokratischen Sozialismus,social1,Social Democratic Party ,Sozialdemokratische Partei Deutschlands,,,,relig1,Christian Democratic Union,"Christlich 
Demokratische Union 
Deutschlands",relig2,Christian Social Union,"Christlich-Soziale Union 
in Bayern"
2009,DE,Germany,27/09/2009,green1,"Alliance 90/ The 
Greens","Bündnis 90/Die 
Grünen",,,,comm1,The Left,Die Linke,social1,Social Democratic Party ,Sozialdemokratische Partei Deutschlands,,,,relig1,Christian Democratic Union,"Christlich 
Demokratische Union 
Deutschlands",relig2,Christian Social Union,"Christlich-Soziale Union 
in Bayern"
2013,DE,Germany,22/09/2013,green1,"Alliance 90/ The 
Greens","Bündnis 90/Die 
Grünen",,,,comm1,The Left,Die Linke,social1,Social Democratic Party ,Sozialdemokratische Partei Deutschlands,,,,relig1,Christian Democratic Union,"Christlich 
Demokratische Union 
Deutschlands",relig2,Christian Social Union,"Christlich-Soziale Union 
in Bayern"
2017,DE,Germany,24/09/2017,green1,"Alliance 90/ The 
Greens","Bündnis 90/Die 
Grünen",,,,comm1,The Left,Die Linke,social1,Social Democratic Party ,Sozialdemokratische Partei Deutschlands,,,,relig1,Christian Democratic Union,"Christlich 
Demokratische Union 
Deutschlands",relig2,Christian Social Union,"Christlich-Soziale Union 
in Bayern"
2021,DE,Germany,26/09/2021,green1,"Alliance 90/ The 
Greens","Bündnis 90/Die 
Grünen",,,,comm1,The Left,Die Linke,social1,Social Democratic Party ,Sozialdemokratische Partei Deutschlands,,,,relig1,Christian Democratic Union,"Christlich 
Demokratische Union 
Deutschlands",relig2,Christian Social Union,"Christlich-Soziale Union 
in Bayern"
2025,DE,Germany,23/02/2025,green1,"Alliance 90/ The 
Greens","Bündnis 90/Die 
Grünen",,,,comm1,The Left,Die Linke,social1,Social Democratic Party ,Sozialdemokratische Partei Deutschlands,,,,relig1,Christian Democratic Union/Christian Social Union,"Christlich 
Demokratische Union 
Deutschlands",,,
1989,GR,Greece,18/06/1989,green1,"Federation of 
Ecologists and 
Alternative Groups","Οικολόγοι 
Εναλλακτικοί",,,,comm3,Synaspismos ,,social1,"Panhellenic Socialist 
Movement (PASOK)",Panellinio Sosialistiko Kinima,,,,conserv3,New Democracy ,Nea Dimokratia,,,
1989,GR,Greece,05/11/1989,green1,"Federation of 
Ecologists and 
Alternative Groups","Οικολόγοι 
Εναλλακτικοί",,,,comm3,Synaspismos ,,social1,"Panhellenic Socialist 
Movement (PASOK)",Panellinio Sosialistiko Kinima,,,,conserv3,New Democracy ,Nea Dimokratia,,,
1990,GR,Greece,08/04/1990,green1,"Federation of 
Ecologists and 
Alternative Groups","Οικολόγοι 
Εναλλακτικοί",,,,comm3,Synaspismos ,,social1,"Panhellenic Socialist 
Movement (PASOK)",Panellinio Sosialistiko Kinima,,,,conserv3,New Democracy ,Nea Dimokratia,,,
1993,GR,Greece,10/10/1993,green1,"Federation of 
Ecologists and 
Alternative Groups","Οικολόγοι 
Εναλλακτικοί",,,,comm1,Communist Party of Greece,,social1,"Panhellenic Socialist 
Movement (PASOK)",Panellinio Sosialistiko Kinima,,,,conserv3,New Democracy ,Nea Dimokratia,,,
1996,GR,Greece,22/09/1996,green1,"Federation of 
Ecologists and 
Alternative Groups","Οικολόγοι 
Εναλλακτικοί",,,,comm1,Communist Party of Greece,,social1,"Panhellenic Socialist 
Movement (PASOK)",Panellinio Sosialistiko Kinima,,,,conserv3,New Democracy ,Nea Dimokratia,,,
2000,GR,Greece,09/04/2000,green1,"Federation of 
Ecologists and 
Alternative Groups","Οικολόγοι 
Εναλλακτικοί",,,,comm1,Communist Party of Greece,,social1,"Panhellenic Socialist 
Movement (PASOK)",Panellinio Sosialistiko Kinima,,,,conserv3,New Democracy ,Nea Dimokratia,,,
2004,GR,Greece,07/03/2004,green1,"Federation of 
Ecologists and 
Alternative Groups","Οικολόγοι 
Εναλλακτικοί",,,,comm1,Communist Party of Greece,,social1,"Panhellenic Socialist 
Movement (PASOK)",Panellinio Sosialistiko Kinima,,,,conserv3,New Democracy ,Nea Dimokratia,,,
2007,GR,Greece,16/09/2007,green1,Ecologists Greens,Oikologoi Prasinoi,,,,comm1,Communist Party of Greece,,social1,"Panhellenic Socialist 
Movement (PASOK)",Panellinio Sosialistiko Kinima,,,,conserv3,New Democracy ,Nea Dimokratia,,,
2009,GR,Greece,04/10/2009,green1,Ecologists Greens,Oikologoi Prasinoi,,,,comm1,Communist Party of Greece,,social1,"Panhellenic Socialist 
Movement (PASOK)",Panellinio Sosialistiko Kinima,,,,conserv3,New Democracy ,Nea Dimokratia,,,
2012,GR,Greece,17/06/2012,green1,Ecologists Greens,Oikologoi Prasinoi,,,,leftsoc2,Coalition of the Radical Left,Synaspismós Rizospastikís Aristerás,social1,"Panhellenic Socialist 
Movement (PASOK)",Panellinio Sosialistiko Kinima,,,,conserv3,New Democracy ,Nea Dimokratia,,,
2012,GR,Greece,06/05/2012,green1,Ecologists Greens,Oikologoi Prasinoi,,,,leftsoc2,Coalition of the Radical Left,Synaspismós Rizospastikís Aristerás,social1,"Panhellenic Socialist 
Movement (PASOK)",Panellinio Sosialistiko Kinima,,,,conserv3,New Democracy ,Nea Dimokratia,,,
2015,GR,Greece,25/01/2015,green1,Ecologists Greens,Oikologoi Prasinoi,,,,leftsoc2,Coalition of the Radical Left,Synaspismós Rizospastikís Aristerás,social1,"Panhellenic Socialist 
Movement (PASOK)",Panellinio Sosialistiko Kinima,,,,conserv3,New Democracy ,Nea Dimokratia,,,
2015,GR,Greece,20/09/2015,green1,Ecologists Greens,Oikologoi Prasinoi,,,,leftsoc2,Coalition of the Radical Left,Synaspismós Rizospastikís Aristerás,social3,Democratic Coalition (incl PASOK),Dimokratiki Symparataxi,,,,conserv3,New Democracy ,Nea Dimokratia,,,
2019,GR,Greece,07/07/2019,green1,Ecologists Greens,Oikologoi Prasinoi,,,,leftsoc2,Coalition of the Radical Left,Synaspismós Rizospastikís Aristerás,social1,PASOK – Movement for Change,PASOK – Kínima Allagís,,,,conserv3,New Democracy ,Nea Dimokratia,,,
2023,GR,Greece,21/05/2023,green1,Ecologists Greens,Oikologoi Prasinoi,,,,leftsoc2,Coalition of the Radical Left,Synaspismós Rizospastikís Aristerás,social1,PASOK – Movement for Change,PASOK – Kínima Allagís,,,,conserv3,New Democracy ,Nea Dimokratia,,,
2023,GR,Greece,25/06/2023,green1,Ecologists Greens,Oikologoi Prasinoi,,,,leftsoc2,Coalition of the Radical Left,Synaspismós Rizospastikís Aristerás,social1,PASOK – Movement for Change,PASOK – Kínima Allagís,,,,conserv3,New Democracy ,Nea Dimokratia,,,
1990,,Hungary,08/04/1990,green1,,,,,,,,,social1,Hungarian Socialist Party ,Magyar Szocialista Párt,,,,conserv4,"Fidesz – Hungarian Civic 
Alliance","Fidesz – Magyar 
Polgári Szövetség",,,
1994,,Hungary,28/05/1994,green1,,,,,,,,,social1,Hungarian Socialist Party ,Magyar Szocialista Párt,,,,conserv4,"Fidesz – Hungarian Civic 
Alliance","Fidesz – Magyar 
Polgári Szövetség",,,
1998,,Hungary,24/05/1998,green1,,,,,,,,,social1,Hungarian Socialist Party ,Magyar Szocialista Párt,,,,conserv4,"Fidesz – Hungarian Civic 
Alliance","Fidesz – Magyar 
Polgári Szövetség",,,
2002,,Hungary,21/04/2002,green1,,,,,,,,,social1,Hungarian Socialist Party ,Magyar Szocialista Párt,,,,conserv4,"Fidesz – Hungarian Civic 
Alliance","Fidesz – Magyar 
Polgári Szövetség",,,
2006,,Hungary,23/04/2006,green1,,,,,,,,,social1,Hungarian Socialist Party ,Magyar Szocialista Párt,,,,conserv4,"Fidesz – Hungarian Civic 
Alliance","Fidesz – Magyar 
Polgári Szövetség",,,
2010,,Hungary,25/04/2010,green1,"Politics Can be 
Different",Lehet Más a Politika,,,,,,,social1,Hungarian Socialist Party ,Magyar Szocialista Párt,,,,conserv4,"Fidesz – Hungarian Civic 
Alliance","Fidesz – Magyar 
Polgári Szövetség",,,
2014,,Hungary,06/04/2014,green1,"Politics Can be 
Different",Lehet Más a Politika,,,,,,,social1,Hungarian Socialist Party ,Magyar Szocialista Párt,,,,conserv4,"Fidesz – Hungarian Civic 
Alliance","Fidesz – Magyar 
Polgári Szövetség",,,
2018,,Hungary,08/04/2018,green1,"Politics Can be 
Different",Lehet Más a Politika,,,,,,,social1,Hungarian Socialist Party ,Magyar Szocialista Párt,,,,,,,,,
2022,,Hungary,03/04/2022,green1,"Politics Can be 
Different",Lehet Más a Politika,,,,,,,social1,Hungarian Socialist Party ,Magyar Szocialista Párt,,,,,,,,,
1991,,Iceland,20/04/1991,green2,,,,,,green3,,,social3,Peoples Movement,Alþýðuflokkurinn,,,,conserv1,Independence Party,Sjálfstæðisflokkurinn,,,
1995,,Iceland,08/04/1995,green2,,,,,,green3,,,social3,Peoples Movement,Alþýðuflokkurinn,,,,conserv1,Independence Party,Sjálfstæðisflokkurinn,,,
1999,IS,Iceland,08/05/1999,green2,,,,,,green3,"Left-Green 
Movement","Vinstrihreyfingin – 
grænt framboð",leftsoc1,Social Democratic Alliance of Iceland,Samfylkingin jafnaðarmannaflokkur Íslands,,,,conserv1,Independence Party,Sjálfstæðisflokkurinn,,,
2003,IS,Iceland,10/05/2003,green2,,,,,,green3,"Left-Green 
Movement","Vinstrihreyfingin – 
grænt framboð",leftsoc1,Social Democratic Alliance of Iceland,Samfylkingin jafnaðarmannaflokkur Íslands,,,,conserv1,Independence Party,Sjálfstæðisflokkurinn,,,
2007,IS,Iceland,12/05/2007,green2,,,,,,green3,"Left-Green 
Movement","Vinstrihreyfingin – 
grænt framboð",leftsoc1,Social Democratic Alliance of Iceland,Samfylkingin jafnaðarmannaflokkur Íslands,,,,conserv1,Independence Party,Sjálfstæðisflokkurinn,,,
2009,IS,Iceland,25/04/2009,green2,,,,,,green3,"Left-Green 
Movement","Vinstrihreyfingin – 
grænt framboð",leftsoc1,Social Democratic Alliance of Iceland,Samfylkingin jafnaðarmannaflokkur Íslands,,,,conserv1,Independence Party,Sjálfstæðisflokkurinn,,,
2013,IS,Iceland,27/04/2013,green2,,,,,,green3,"Left-Green 
Movement","Vinstrihreyfingin – 
grænt framboð",leftsoc1,Social Democratic Alliance of Iceland,Samfylkingin jafnaðarmannaflokkur Íslands,,,,conserv1,Independence Party,Sjálfstæðisflokkurinn,,,
2016,IS,Iceland,29/10/2016,green2,,,,,,green3,"Left-Green 
Movement","Vinstrihreyfingin – 
grænt framboð",leftsoc1,Social Democratic Alliance of Iceland,Samfylkingin jafnaðarmannaflokkur Íslands,,,,conserv1,Independence Party,Sjálfstæðisflokkurinn,,,
2017,IS,Iceland,28/10/2017,green2,,,,,,green3,"Left-Green 
Movement","Vinstrihreyfingin – 
grænt framboð",leftsoc1,Social Democratic Alliance of Iceland,Samfylkingin jafnaðarmannaflokkur Íslands,,,,conserv1,Independence Party,Sjálfstæðisflokkurinn,,,
2021,IS,Iceland,25/09/2021,green2,,,,,,green3,"Left-Green 
Movement","Vinstrihreyfingin – 
grænt framboð",leftsoc1,Social Democratic Alliance of Iceland,Samfylkingin jafnaðarmannaflokkur Íslands,,,,conserv1,Independence Party,Sjálfstæðisflokkurinn,,,
1992,IE,Ireland,25/11/1992,green1,Green Party,Comhaontas Glas,,,,leftsoc2,Democratic Left,Daonlathas Clé,social1,Irish Labour Party,Páirtí an Lucht Oibre,,,,relig1,Family of the Irish,Fine Gael,,,
1997,IE,Ireland,06/06/1997,green1,Green Party,Comhaontas Glas,,,,leftsoc2,Democratic Left,Daonlathas Clé,social1,Irish Labour Party,Páirtí an Lucht Oibre,,,,relig1,Family of the Irish,Fine Gael,,,
2002,IE,Ireland,17/05/2002,green1,Green Party,Comhaontas Glas,,,,,,,social1,Irish Labour Party,Páirtí an Lucht Oibre,,,,relig1,Family of the Irish,Fine Gael,,,
2007,IE,Ireland,24/05/2007,green1,Green Party,Comhaontas Glas,,,,,,,social1,Irish Labour Party,Páirtí an Lucht Oibre,,,,relig1,Family of the Irish,Fine Gael,,,
2011,IE,Ireland,25/02/2011,green1,Green Party,Comhaontas Glas,,,,leftsoc3,Anti-Austerity Alliance,,social1,Irish Labour Party,Páirtí an Lucht Oibre,,,,relig1,Family of the Irish,Fine Gael,,,
2016,IE,Ireland,26/02/2016,green1,Green Party,Comhaontas Glas,,,,leftsoc4,United Left Alliance,,social1,Irish Labour Party,Páirtí an Lucht Oibre,,,,relig1,Family of the Irish,Fine Gael,,,
2020,IE,Ireland,08/02/2020,green1,Green Party,Comhaontas Glas,,,,leftsoc5,Solidarity-People Before Profit,,social1,Irish Labour Party,Páirtí an Lucht Oibre,,,,relig1,Family of the Irish,Fine Gael,,,
1992,IT,Italy,06/04/1992,green1,"Federation of the 
Greens","Federazione dei 
Verdi",,,,comm2,Communist  Refoundation Party,Partito della Rifondazione Comunista,social1,Italian Socialist Party,Partito Socialista Italiano,,,,relig1,Christian Democratic Party,Democrazia Cristiana,,,
1994,IT,Italy,28/03/1994,green1,"Federation of the 
Greens","Federazione dei 
Verdi",,,,comm2,Communist  Refoundation Party,Partito della Rifondazione Comunista,leftsoc2,"Democratic Party  
of the Left","Partito Democratico 
della Sinistra",,,,conserv1,"Go, Italy!",Forza Italia,,,
1996,IT,Italy,21/04/1996,green1,"Federation of the 
Greens","Federazione dei 
Verdi",,,,comm2,Communist  Refoundation Party,Partito della Rifondazione Comunista,leftsoc2,"Democratic Party  
of the Left","Partito Democratico 
della Sinistra",,,,conserv1,"Go, Italy!",Forza Italia,,,
2001,IT,Italy,13/05/2001,green1,"Federation of the 
Greens","Federazione dei 
Verdi",,,,comm2,Communist  Refoundation Party,Partito della Rifondazione Comunista,leftsoc2,Democrats of the Left ,Democratici di Sinistra,,,,conserv1,"Go, Italy!",Forza Italia,,,
2006,IT,Italy,10/04/2006,green1,"Federation of the 
Greens","Federazione dei 
Verdi",,,,comm2,Communist  Refoundation Party,Partito della Rifondazione Comunista,leftsoc2,Democrats of the Left ,Democratici di Sinistra,,,,conserv1,"Go, Italy!",Forza Italia,,,
2008,IT,Italy,13/04/2008,green1,"Federation of the 
Greens","Federazione dei 
Verdi",,,,comm2,Communist  Refoundation Party,Partito della Rifondazione Comunista,social4,Democratic Party,Partito Democratico,,,,conserv4,The People of Freedom,Il Popolo della Libertà,,,
2013,IT,Italy,24/02/2013,green1,"Federation of the 
Greens","Federazione dei 
Verdi",,,,comm2,Communist  Refoundation Party,Partito della Rifondazione Comunista,social4,Democratic Party,Partito Democratico,,,,conserv4,The People of Freedom,Il Popolo della Libertà,,,
2018,IT,Italy,04/03/2018,green1,"Federation of the 
Greens","Federazione dei 
Verdi",,,,leftsoc4,Free and Equal,"Liberi e Uguali, LeU",social4,Democratic Party,Partito Democratico,,,,conserv1,"Go, Italy!",Forza Italia,,,
1994,LU,Luxembourg,12/06/1994,green3,The Greens,Déi Gréng,,,,,,,social1,"Luxembourg Socialist
Workers’ Party",Lëtzebuerger Sozialistesch Aarbechterpartei,,,,relig1,"Christian Social People’s 
Party","Chrëschtlech Sozial 
Vollekspartei",,,
1999,LU,Luxembourg,13/06/1999,green3,The Greens,Déi Gréng,,,,leftsoc1,The Left,Déi Lénk,social1,"Luxembourg Socialist
Workers’ Party",Lëtzebuerger Sozialistesch Aarbechterpartei,,,,relig1,"Christian Social People’s 
Party","Chrëschtlech Sozial 
Vollekspartei",,,
2004,LU,Luxembourg,13/06/2004,green3,The Greens,Déi Gréng,,,,leftsoc1,The Left,Déi Lénk,social1,"Luxembourg Socialist
Workers’ Party",Lëtzebuerger Sozialistesch Aarbechterpartei,,,,relig1,"Christian Social People’s 
Party","Chrëschtlech Sozial 
Vollekspartei",,,
2009,LU,Luxembourg,07/06/2009,green3,The Greens,Déi Gréng,,,,leftsoc1,The Left,Déi Lénk,social1,"Luxembourg Socialist
Workers’ Party",Lëtzebuerger Sozialistesch Aarbechterpartei,,,,relig1,"Christian Social People’s 
Party","Chrëschtlech Sozial 
Vollekspartei",,,
2013,LU,Luxembourg,20/10/2013,green3,The Greens,Déi Gréng,,,,leftsoc1,The Left,Déi Lénk,social1,"Luxembourg Socialist
Workers’ Party",Lëtzebuerger Sozialistesch Aarbechterpartei,,,,relig1,"Christian Social People’s 
Party","Chrëschtlech Sozial 
Vollekspartei",,,
2018,LU,Luxembourg,14/10/2018,green3,The Greens,Déi Gréng,,,,leftsoc1,The Left,Déi Lénk,social1,"Luxembourg Socialist
Workers’ Party",Lëtzebuerger Sozialistesch Aarbechterpartei,,,,relig1,"Christian Social People’s 
Party","Chrëschtlech Sozial 
Vollekspartei",,,
1994,NL,Netherlands,03/05/1994,green1,GreenLeft,GroenLinks,,,,leftsoc2,Socialist Party,Socialistische Parti,social1,Labour Party,Partij van de Arbeid,,,,relig5,Catholic People’s Party,Katholieke Volkspartij,,,
1998,NL,Netherlands,06/05/1998,green1,GreenLeft,GroenLinks,,,,leftsoc2,Socialist Party,Socialistische Parti,social1,Labour Party,Partij van de Arbeid,,,,relig5,Catholic People’s Party,Katholieke Volkspartij,,,
2002,NL,Netherlands,15/05/2002,green1,GreenLeft,GroenLinks,,,,leftsoc2,Socialist Party,Socialistische Parti,social1,Labour Party,Partij van de Arbeid,,,,relig5,Catholic People’s Party,Katholieke Volkspartij,,,
2003,NL,Netherlands,22/01/2003,green1,GreenLeft,GroenLinks,,,,leftsoc2,Socialist Party,Socialistische Parti,social1,Labour Party,Partij van de Arbeid,,,,relig5,Catholic People’s Party,Katholieke Volkspartij,,,
2006,NL,Netherlands,22/11/2006,green1,GreenLeft,GroenLinks,,,,leftsoc2,Socialist Party,Socialistische Parti,social1,Labour Party,Partij van de Arbeid,,,,relig5,Catholic People’s Party,Katholieke Volkspartij,,,
2010,NL,Netherlands,09/06/2010,green1,GreenLeft,GroenLinks,,,,leftsoc2,Socialist Party,Socialistische Parti,social1,Labour Party,Partij van de Arbeid,,,,liberal1,Peoples Party for Freedom and Democracy,Volkspartij voor Vrijheid en Democratie,,,
2012,NL,Netherlands,12/09/2012,green1,GreenLeft,GroenLinks,,,,leftsoc2,Socialist Party,Socialistische Parti,social1,Labour Party,Partij van de Arbeid,,,,liberal1,Peoples Party for Freedom and Democracy,Volkspartij voor Vrijheid en Democratie,,,
